id_origin,name_muni2025,name_muni2020,name_muni2015,name_muni2010,name_muni2005,name_muni2000,name_ward2025,name_ward2020,name_ward2015,name_ward2010,name_ward2005,name_ward2000,id_ward2025,id_ward2020,id_ward2015,id_ward2010,id_ward2005,id_ward2000,id_muni2025,id_muni2020,id_muni2015,id_muni2010,id_muni2005,id_muni2000
01101,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,中央区,中央区,中央区,中央区,中央区,中央区,01101,01101,01101,01101,01101,01101,01100,01100,01100,01100,01100,01100
01102,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,北区,北区,北区,北区,北区,北区,01102,01102,01102,01102,01102,01102,01100,01100,01100,01100,01100,01100
01103,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,東区,東区,東区,東区,東区,東区,01103,01103,01103,01103,01103,01103,01100,01100,01100,01100,01100,01100
01104,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,白石区,白石区,白石区,白石区,白石区,白石区,01104,01104,01104,01104,01104,01104,01100,01100,01100,01100,01100,01100
01105,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,豊平区,豊平区,豊平区,豊平区,豊平区,豊平区,01105,01105,01105,01105,01105,01105,01100,01100,01100,01100,01100,01100
01106,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,南区,南区,南区,南区,南区,南区,01106,01106,01106,01106,01106,01106,01100,01100,01100,01100,01100,01100
01107,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,西区,西区,西区,西区,西区,西区,01107,01107,01107,01107,01107,01107,01100,01100,01100,01100,01100,01100
01108,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,厚別区,厚別区,厚別区,厚別区,厚別区,厚別区,01108,01108,01108,01108,01108,01108,01100,01100,01100,01100,01100,01100
01109,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,手稲区,手稲区,手稲区,手稲区,手稲区,手稲区,01109,01109,01109,01109,01109,01109,01100,01100,01100,01100,01100,01100
01110,札幌市,札幌市,札幌市,札幌市,札幌市,札幌市,清田区,清田区,清田区,清田区,清田区,清田区,01110,01110,01110,01110,01110,01110,01100,01100,01100,01100,01100,01100
04101,仙台市,仙台市,仙台市,仙台市,仙台市,仙台市,青葉区,青葉区,青葉区,青葉区,青葉区,青葉区,04101,04101,04101,04101,04101,04101,04100,04100,04100,04100,04100,04100
04102,仙台市,仙台市,仙台市,仙台市,仙台市,仙台市,宮城野区,宮城野区,宮城野区,宮城野区,宮城野区,宮城野区,04102,04102,04102,04102,04102,04102,04100,04100,04100,04100,04100,04100
04103,仙台市,仙台市,仙台市,仙台市,仙台市,仙台市,若林区,若林区,若林区,若林区,若林区,若林区,04103,04103,04103,04103,04103,04103,04100,04100,04100,04100,04100,04100
04104,仙台市,仙台市,仙台市,仙台市,仙台市,仙台市,太白区,太白区,太白区,太白区,太白区,太白区,04104,04104,04104,04104,04104,04104,04100,04100,04100,04100,04100,04100
04105,仙台市,仙台市,仙台市,仙台市,仙台市,仙台市,泉区,泉区,泉区,泉区,泉区,泉区,04105,04105,04105,04105,04105,04105,04100,04100,04100,04100,04100,04100
11205,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,大宮市,西区,西区,西区,西区,西区,NA,11101,11101,11101,11101,11101,NA,11100,11100,11100,11100,11100,11205
11205,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,大宮市,北区,北区,北区,北区,北区,NA,11102,11102,11102,11102,11102,NA,11100,11100,11100,11100,11100,11205
11205,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,大宮市,大宮区,大宮区,大宮区,大宮区,大宮区,NA,11103,11103,11103,11103,11103,NA,11100,11100,11100,11100,11100,11205
11205,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,大宮市,見沼区,見沼区,見沼区,見沼区,見沼区,NA,11104,11104,11104,11104,11104,NA,11100,11100,11100,11100,11100,11205
11220,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,与野市,中央区,中央区,中央区,中央区,中央区,NA,11105,11105,11105,11105,11105,NA,11100,11100,11100,11100,11100,11220
11204,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,浦和市,桜区,桜区,桜区,桜区,桜区,NA,11106,11106,11106,11106,11106,NA,11100,11100,11100,11100,11100,11204
11204,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,浦和市,浦和区,浦和区,浦和区,浦和区,浦和区,NA,11107,11107,11107,11107,11107,NA,11100,11100,11100,11100,11100,11204
11204,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,浦和市,南区,南区,南区,南区,南区,NA,11108,11108,11108,11108,11108,NA,11100,11100,11100,11100,11100,11204
11204,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,浦和市,緑区,緑区,緑区,緑区,緑区,NA,11109,11109,11109,11109,11109,NA,11100,11100,11100,11100,11100,11204
11213,さいたま市,さいたま市,さいたま市,さいたま市,さいたま市,岩槻市,岩槻区,岩槻区,岩槻区,岩槻区,岩槻区,NA,11110,11110,11110,11110,11110,NA,11100,11100,11100,11100,11100,11213
12101,千葉市,千葉市,千葉市,千葉市,千葉市,千葉市,中央区,中央区,中央区,中央区,中央区,中央区,12101,12101,12101,12101,12101,12101,12100,12100,12100,12100,12100,12100
12102,千葉市,千葉市,千葉市,千葉市,千葉市,千葉市,花見川区,花見川区,花見川区,花見川区,花見川区,花見川区,12102,12102,12102,12102,12102,12102,12100,12100,12100,12100,12100,12100
12103,千葉市,千葉市,千葉市,千葉市,千葉市,千葉市,稲毛区,稲毛区,稲毛区,稲毛区,稲毛区,稲毛区,12103,12103,12103,12103,12103,12103,12100,12100,12100,12100,12100,12100
12104,千葉市,千葉市,千葉市,千葉市,千葉市,千葉市,若葉区,若葉区,若葉区,若葉区,若葉区,若葉区,12104,12104,12104,12104,12104,12104,12100,12100,12100,12100,12100,12100
12105,千葉市,千葉市,千葉市,千葉市,千葉市,千葉市,緑区,緑区,緑区,緑区,緑区,緑区,12105,12105,12105,12105,12105,12105,12100,12100,12100,12100,12100,12100
12106,千葉市,千葉市,千葉市,千葉市,千葉市,千葉市,美浜区,美浜区,美浜区,美浜区,美浜区,美浜区,12106,12106,12106,12106,12106,12106,12100,12100,12100,12100,12100,12100
14101,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,鶴見区,鶴見区,鶴見区,鶴見区,鶴見区,鶴見区,14101,14101,14101,14101,14101,14101,14100,14100,14100,14100,14100,14100
14102,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,神奈川区,神奈川区,神奈川区,神奈川区,神奈川区,神奈川区,14102,14102,14102,14102,14102,14102,14100,14100,14100,14100,14100,14100
14103,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,西区,西区,西区,西区,西区,西区,14103,14103,14103,14103,14103,14103,14100,14100,14100,14100,14100,14100
14104,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,中区,中区,中区,中区,中区,中区,14104,14104,14104,14104,14104,14104,14100,14100,14100,14100,14100,14100
14105,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,南区,南区,南区,南区,南区,南区,14105,14105,14105,14105,14105,14105,14100,14100,14100,14100,14100,14100
14106,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,保土ヶ谷区,保土ヶ谷区,保土ヶ谷区,保土ヶ谷区,保土ヶ谷区,保土ヶ谷区,14106,14106,14106,14106,14106,14106,14100,14100,14100,14100,14100,14100
14107,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,磯子区,磯子区,磯子区,磯子区,磯子区,磯子区,14107,14107,14107,14107,14107,14107,14100,14100,14100,14100,14100,14100
14108,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,金沢区,金沢区,金沢区,金沢区,金沢区,金沢区,14108,14108,14108,14108,14108,14108,14100,14100,14100,14100,14100,14100
14109,横浜市,横浜市,横浜市,横浜市,横浜市,横浜市,港北区,港北区,港北区,港北区,港北区,港北区,14109,14109,14109,14109,14109,14109,14100,14100,14100,14100,14100,14100
